"country","rateBoth","rateMale","rateFemale"
"Burkina Faso","16","24.9000","7.2000"
"Brunei","15.5000","28.6000","2.5000"
"New Zealand","14.8000","16.1000","13.5000"
"Morocco","14.7000","28.6000","0.9000"
"Zambia","14.7000","25","4.4000"
"Mozambique","14.4000","23.4000","5.4000"
"Gambia","14.4000","27.3000","1.5000"
"Iran","14","24.6000","3.5000"
"Qatar","14","26.7000","1.3000"
"Mexico","13.9000","21.2000","6.5000"
"Zimbabwe","13.9000","26.5000","1.3000"
"Iceland","13.8000","13.9000","13.7000"
"Tanzania","13.3000","23.5000","3.1000"
"Rwanda","13.3000","19.7000","6.9000"
"Ivory Coast","13","24.3000","1.6000"
"Norway","13","15.5000","10.5000"
"Malawi","12.8000","20.4000","5.2000"
"Paraguay","12.8000","20.8000","4.7000"
"El Salvador","12.7000","22.8000","2.5000"
"Burundi","12.6000","18.8000","6.4000"
"Uzbekistan","12.3000","23.3000","1.3000"
"Guyana","12.2000","22.1000","2.2000"
"Mali","12","22.4000","1.7000"
"Kenya","11.8000","20.8000","2.8000"
"Chad","11.8000","21.3000","2.3000"
"Jamaica","11","17.7000","4.2000"
"Bahamas","10.9000","18.6000","3.2000"
"Eswatini","10.7000","19.1000","2.2000"
"Uganda","9.8000","15.5000","4"
"Costa Rica","9.8000","14.7000","5"
"Peru","9.6000","15.6000","3.6000"
"Oman","9.6000","18.5000","0.7000"
"Dominican Rep.","9.4000","11.2000","7.5000"
"Cameroon","9.3000","17.5000","1.2000"
"Senegal","9.1000","17.4000","0.7000"
"Barbados","8.7000","15","2.3000"
"Niger","8.6000","16.3000","0.8000"
"Liberia","8.4000","15.1000","1.8000"
"Haiti","8.3000","13.3000","3.3000"
"Sweden","8","6","8"
"Colombia","7.9000","12.2000","3.7000"
"Togo","7.6000","13.5000","1.6000"
"Benin","7.2000","12.4000","1.9000"
"Eritrea","7.2000","14.2000","0.3000"
"Panama","6.9000","11.1000","2.7000"
"Sao Tome and Principe","5.4000","9.5000","1.4000"
"Nigeria","4.8000","9","0.5000"
"Ethiopia","4.6000","8.3000","0.9000"
"Ghana","3.7000","7","0.4000"
